CD_STAT_SECTOR,prop_type,total_sales
11001A00-,4 or + facades house,6
11001A01-,4 or + facades house,82
11001A020,4 or + facades house,50
11001A030,4 or + facades house,4
11001A042,4 or + facades house,34
11001A052,4 or + facades house,10
11001A063,4 or + facades house,4
11001A074,4 or + facades house,2
11001A091,4 or + facades house,44
11001A0MA,4 or + facades house,3
11001A0PA,4 or + facades house,15
11001A10-,4 or + facades house,13
11001A173,4 or + facades house,9
11001A190,4 or + facades house,8
11001A20-,4 or + facades house,53
11001A21-,4 or + facades house,15
11001_UNKNOWN,4 or + facades house,3
11002B71-,4 or + facades house,12
11002B742,4 or + facades house,20
11002B791,4 or + facades house,20
11002D41-,4 or + facades house,2
11002G522,4 or + facades house,1
11002G53-,4 or + facades house,1
11002G74-,4 or + facades house,83
11002G75-,4 or + facades house,6
11002G780,4 or + facades house,6
11002L000,4 or + facades house,40
11002L011,4 or + facades house,79
11002L022,4 or + facades house,16
11002L090,4 or + facades house,25
11002L100,4 or + facades house,64
11002L111,4 or + facades house,45
11002L122,4 or + facades house,26
11002L18-,4 or + facades house,10
11002P00-,4 or + facades house,2
11002P01-,4 or + facades house,2
11002P02-,4 or + facades house,1
11002P03-,4 or + facades house,4
11002P04-,4 or + facades house,23
11002P05-,4 or + facades house,14
11002P100,4 or + facades house,45
11002P111,4 or + facades house,49
11002P12-,4 or + facades house,1
11002P20-,4 or + facades house,2
11002P21-,4 or + facades house,49
11002P22-,4 or + facades house,5
11002P23-,4 or + facades house,3
11002P242,4 or + facades house,21
11002P2AP,4 or + facades house,61
11002P500,4 or + facades house,8
11002P589,4 or + facades house,9
11002P590,4 or + facades house,4
11002P6DK,4 or + facades house,1
11002Q021,4 or + facades house,1
11002Q10-,4 or + facades house,2
11002Q11-,4 or + facades house,1
11002Q13-,4 or + facades house,2
11002Q2PA,4 or + facades house,1
11002Q30-,4 or + facades house,11
11002R20-,4 or + facades house,2
11002R31-,4 or + facades house,3
11002R401,4 or + facades house,5
11002R41-,4 or + facades house,1
11002R44-,4 or + facades house,3
11002S43-,4 or + facades house,1
11002T111,4 or + facades house,13
11002T14-,4 or + facades house,6
11002T24-,4 or + facades house,2
11002T39-,4 or + facades house,1
11002U01-,4 or + facades house,5
11002U02-,4 or + facades house,8
11002U03-,4 or + facades house,3
11002U09-,4 or + facades house,2
11002U10-,4 or + facades house,12
11002U11-,4 or + facades house,65
11002U20-,4 or + facades house,3
11002U32-,4 or + facades house,130
11002U33-,4 or + facades house,22
11002U41-,4 or + facades house,8
11002U60-,4 or + facades house,10
11002U69-,4 or + facades house,2
11002V01-,4 or + facades house,6
11002V20-,4 or + facades house,3
11002V23-,4 or + facades house,13
11002V312,4 or + facades house,1
11002V322,4 or + facades house,20
11002V373,4 or + facades house,1
11002_UNKNOWN,4 or + facades house,15
11004A00-,4 or + facades house,6
11004A01-,4 or + facades house,7
11004A02-,4 or + facades house,25
11004A03-,4 or + facades house,4
11004A081,4 or + facades house,29
11004A09-,4 or + facades house,3
11004A10-,4 or + facades house,15
11004A18-,4 or + facades house,2
11004A19-,4 or + facades house,36
11004A21-,4 or + facades house,13
11004A220,4 or + facades house,13
11004A23-,4 or + facades house,43
11004A242,4 or + facades house,6
11004A29-,4 or + facades house,12
11004B000,4 or + facades house,19
11004B010,4 or + facades house,13
11004B022,4 or + facades house,4
11004B081,4 or + facades house,15
11004B090,4 or + facades house,3
11004B19-,4 or + facades house,3
11004_UNKNOWN,4 or + facades house,17
11005A02-,4 or + facades house,15
11005A051,4 or + facades house,3
11005A072,4 or + facades house,1
11005A20-,4 or + facades house,1
11005A211,4 or + facades house,20
11005A22-,4 or + facades house,9
11005A25-,4 or + facades house,24
11005A30-,4 or + facades house,4
11007A01-,4 or + facades house,15
11007A020,4 or + facades house,18
11007A03-,4 or + facades house,10
11007A04-,4 or + facades house,3
11007A080,4 or + facades house,5
11007A09-,4 or + facades house,5
11007_UNKNOWN,4 or + facades house,1
11008A00-,4 or + facades house,18
11008A01-,4 or + facades house,20
11008A020,4 or + facades house,30
11008A03-,4 or + facades house,84
11008A04-,4 or + facades house,58
11008A0AA,4 or + facades house,41
11008A0BJ,4 or + facades house,16
11008A0PA,4 or + facades house,5
11008A10-,4 or + facades house,19
11008A11-,4 or + facades house,56
11008A12-,4 or + facades house,36
11008A19-,4 or + facades house,28
11008A20-,4 or + facades house,68
11008A21-,4 or + facades house,88
11008A22-,4 or + facades house,10
11008A283,4 or + facades house,17
11008A30-,4 or + facades house,35
11008A31-,4 or + facades house,15
11008A32-,4 or + facades house,4
11008A332,4 or + facades house,74
11008A381,4 or + facades house,8
11008A3MB,4 or + facades house,65
11008A3PB,4 or + facades house,25
11008A40-,4 or + facades house,127
11008A49-,4 or + facades house,137
11008A500,4 or + facades house,133
11008A510,4 or + facades house,251
11008A59-,4 or + facades house,2
11008_UNKNOWN,4 or + facades house,23
11009A000,4 or + facades house,60
11009A01-,4 or + facades house,11
11009A02-,4 or + facades house,2
11009A03-,4 or + facades house,3
11009A042,4 or + facades house,32
11009A0AD,4 or + facades house,6
11009A0MC,4 or + facades house,11
11009A0PD,4 or + facades house,34
11009A0QC,4 or + facades house,9
11009A20-,4 or + facades house,163
11009A21-,4 or + facades house,104
11009A222,4 or + facades house,289
11009A29-,4 or + facades house,1
11009A30-,4 or + facades house,20
11009A38-,4 or + facades house,7
11009A3AB,4 or + facades house,146
11009A3PB,4 or + facades house,29
11009A49-,4 or + facades house,22
11009A5AA,4 or + facades house,346
11009A5PA,4 or + facades house,7
11009B00-,4 or + facades house,31
11009B01-,4 or + facades house,28
11009B02-,4 or + facades house,10
11009B032,4 or + facades house,28
11009B08-,4 or + facades house,28
11009B091,4 or + facades house,11
11009B18-,4 or + facades house,8
11009B19-,4 or + facades house,23
11009B20-,4 or + facades house,30
11009B29-,4 or + facades house,19
11009B2MA,4 or + facades house,3
11009B2PA,4 or + facades house,19
11009C00-,4 or + facades house,32
11009C01-,4 or + facades house,118
11009C020,4 or + facades house,204
11009C03-,4 or + facades house,72
11009C08-,4 or + facades house,20
11009C090,4 or + facades house,35
11009_UNKNOWN,4 or + facades house,33
11013A00-,4 or + facades house,1
11013A01-,4 or + facades house,41
11013A02-,4 or + facades house,19
11013A03-,4 or + facades house,6
11013A040,4 or + facades house,16
11013A050,4 or + facades house,1
11013A101,4 or + facades house,32
11013A12-,4 or + facades house,51
11013A132,4 or + facades house,35
11013A142,4 or + facades house,57
11013A181,4 or + facades house,3
11013A19-,4 or + facades house,2
11013A20-,4 or + facades house,11
11013_UNKNOWN,4 or + facades house,4
11016A000,4 or + facades house,58
11016A010,4 or + facades house,38
11016A021,4 or + facades house,9
11016A042,4 or + facades house,31
11016A052,4 or + facades house,37
11016A091,4 or + facades house,62
11016A101,4 or + facades house,28
11016A112,4 or + facades house,97
11016A180,4 or + facades house,16
11016A191,4 or + facades house,9
11016A1AJ,4 or + facades house,109
11016A200,4 or + facades house,65
11016A262,4 or + facades house,70
11016A273,4 or + facades house,1
11016A281,4 or + facades house,21
11016A291,4 or + facades house,36
11016A300,4 or + facades house,10
11016A391,4 or + facades house,8
11016A3AJ,4 or + facades house,133
11016A401,4 or + facades house,7
11016A412,4 or + facades house,5
11016A501,4 or + facades house,278
11016A592,4 or + facades house,24
11016A60-,4 or + facades house,8
11016A691,4 or + facades house,10
11016_UNKNOWN,4 or + facades house,26
11018A000,4 or + facades house,3
11018A010,4 or + facades house,20
11018A021,4 or + facades house,5
11018A030,4 or + facades house,22
11018A042,4 or + facades house,2
11018A054,4 or + facades house,1
11018A132,4 or + facades house,5
11018_UNKNOWN,4 or + facades house,2
11021A00-,4 or + facades house,23
11021A01-,4 or + facades house,51
11021A02-,4 or + facades house,23
11021A03-,4 or + facades house,23
11021A04-,4 or + facades house,65
11021A052,4 or + facades house,5
11021A062,4 or + facades house,96
11021A091,4 or + facades house,1
11021A19-,4 or + facades house,4
11021_UNKNOWN,4 or + facades house,4
11022A001,4 or + facades house,21
11022A012,4 or + facades house,26
11022A02-,4 or + facades house,84
11022A032,4 or + facades house,64
11022A091,4 or + facades house,2
11022A10-,4 or + facades house,54
11022A11-,4 or + facades house,42
11022A120,4 or + facades house,30
11022A132,4 or + facades house,22
11022A181,4 or + facades house,6
11022A19-,4 or + facades house,28
11022A201,4 or + facades house,25
11022A21-,4 or + facades house,263
11022A22-,4 or + facades house,128
11022A232,4 or + facades house,68
11022A28-,4 or + facades house,3
11022A2AA,4 or + facades house,49
11022A2MA,4 or + facades house,3
11022A30-,4 or + facades house,29
11022A31-,4 or + facades house,12
11022A322,4 or + facades house,28
11022A382,4 or + facades house,3
11022A39-,4 or + facades house,11
11022A401,4 or + facades house,25
11022A412,4 or + facades house,27
11022A423,4 or + facades house,16
11022A48-,4 or + facades house,8
11022A49-,4 or + facades house,20
11022A50-,4 or + facades house,6
11022A582,4 or + facades house,2
11022A682,4 or + facades house,2
11022A692,4 or + facades house,1
11022_UNKNOWN,4 or + facades house,21
11023A00-,4 or + facades house,15
11023A01-,4 or + facades house,76
11023A02-,4 or + facades house,66
11023A03-,4 or + facades house,5
11023A04-,4 or + facades house,13
11023A050,4 or + facades house,42
11023A062,4 or + facades house,104
11023A08-,4 or + facades house,10
11023A091,4 or + facades house,3
11023A10-,4 or + facades house,36
11023A11-,4 or + facades house,4
11023A122,4 or + facades house,65
11023A133,4 or + facades house,43
11023A191,4 or + facades house,18
11023A200,4 or + facades house,278
11023A212,4 or + facades house,77
11023A280,4 or + facades house,21
11023A291,4 or + facades house,28
11023B30-,4 or + facades house,23
11023B31-,4 or + facades house,67
11023B32-,4 or + facades house,216
11023B330,4 or + facades house,39
11023B391,4 or + facades house,2
11023B40-,4 or + facades house,83
