CD_SECTOR;TOTAL;TX_DESCR_SECTOR_FR
11001A00-;2618;AARTSELAAR-CENTRUM
11001A01-;2922;DE LEEUWERIK
11001A020;763;BUERSTEDE
11001A030;487;YSSELAAR
11001A042;354;KLEINE GRIPPE
11001A05K;2388;LEUG
11001A06K;804;TEN DORPE
11001A074;30;BRUINEN BAARD
11001A091;522;KLEISTRAAT - OEVER
11001A0MA;63;ZINKVAL
11001A0PA;121;CLEYDAEL-KASTEEL
11001A10-;806;T HEIKEN
11001A173;538;NOTELAAN
11001A190;257;DE REUKENS
11001A20-;1030;DE KOEKOEK
11001A21-;1382;VIERPALEN
11001ZZZZ;8;Non localisable dans un secteur
1100212MQ;0;STABROEK
11002A00-;2737;ANTWERPEN KERN - OUDE STAD (SP WALL)
11002A01-;1714;KLAPDORP - BROUWERSVLIET
11002A02-;595;GROENPLAATS (SPAANSE WALLEN)
11002A03-;1034;HOOGSTRAAT (SPAANSE WALLEN)
11002A04-;1707;OUDAAN (SPAANSE WALLEN)
11002A05-;1544;GEVANGENIS (SPAANSE WALLEN)
11002A08K;0;NOORDELIJKE SCHELDEKADEN
11002A08L;0;ZUIDELIJKE SCHELDEKADEN
11002A10-;1966;MEIR - LEYSSTRAAT (SP. WALLEN)
11002A11-;2436;KIPDORP-ST.-JACOBS (SP.WALLEN)
11002A12-;1082;K.N.S.-NAT. BANK (SP. WALLEN)
11002A13-;2100;STADSWAAG-BEGIJNHOF(SP.WALLEN)
11002A14-;1059;TABAKSVEST (SPAANSE WALLEN)
11002A15-;1642;HESSENHUIS (SPAANSE WALLEN)
11002A21-;2876;ST.-ANDRIES (SPAANSE WALLEN)
11002A22-;1610;ST.-MICHIELSKAAI (SP. WALLEN)
11002B701;4251;LINKEROEVER-ZUID (LINKEROEVER)
11002B71-;1967;LINKEROEVER - STATION
11002B721;4164;LINKEROEVER-NOORD
11002B73-;53;ST.-ANNA (LINKEROEVER)
11002B742;1795;THONETLAAN (LINKEROEVER)
11002B752;195;GLORIANTLAAN (LINKEROEVER)
11002B782;190;GALGEWEEL (LINKEROEVER)
11002B791;358;ST.-ANNABOS (LINKEROEVER )
11002B813;3454;BLANCEFLOERLAAN  (LINKEROEVER)
11002B824;904;CHARLES DE COSTERLAAN(L.OEVER)
11002C20-;676;STATIEKWARTIER (STATIONSWIJK)
11002C21-;1973;ATHENEUM (STATIONSWIJK)
11002C22-;1961;DE CONINCPLEIN-Z.(STATIONSW.)
11002C23-;3728;OFFERANDESTRAAT(STATIONSWIJK )
11002C24-;3834;PROVINCIESTRAAT(STATIONSWIJK )
11002C25-;4229;PELIKAANSTRAAT (STATIONSWIJK )
11002C28-;0;STATION - ZOO (STATIONSWIJK )
11002C29-;0;STADSPARK (STATIONSWIJK )
11002C31-;1439;JEZUITENCOLLEGE(STATIONSWIJK )
11002C41-;3030;DAMBRUGGESTRAAT-N.(STATIONSW.)
11002C42-;3796;DE ZAVEL (NOORDWIJK )
11002C43-;2367;ST.-WILLEBRORDUS (NOORDWIJK )
11002C44-;2057;POTGIETERSTRAAT (NOORDWIJK)
11002C45-;2778;STUIVENBERG ZIEKENHUIS(NOORDW)
11002C491;0;SCHIJNPOORT (DAM-SCHIJNPOORT )
11002D30-;4829;CHARLOTTALEI (OOSTWIJK)
11002D31-;3315;ASTRID BAD (OOSTWIJK)
11002D32-;4647;ST.-VINCENTIUS (OOSTWIJK)
11002D33-;3604;STADSPARK-ZUID (OOSTWIJK)
11002D34-;5900;DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK)
11002D35-;1700;VAN DIEPENBEECKSTR. (OOSTWIJK)
11002D38K;7;GAS WEST (OOSTWIJK)
11002D38L;0;GAS OOST (OOSTWIJK)
11002D41-;3730;STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK)
11002D42-;2768;LAMORINIERESTR.-ZUID (EBES) (OOSTWIJK)
11002E122;1226;WAALSE KAAI (ZUIDWIJK)
11002E131;1628;VLAAMSE KAAI (ZUIDWIJK)
11002E14-;5956;MUSEUMWIJK (ZUIDWIJK)
11002E15-;1531;GERECHTSHOF (ZUIDWIJK)
11002E19-;0;OUDE SCHIPPERSDOKKEN(ZUIDWIJK)
11002E50-;6058;BELL (ZUIDWIJK)
11002E521;3322;LANGE ELZENSTRAAT (ZUIDWIJK)
11002E53-;2509;TROONPLAATS (ZUIDWIJK)
11002E551;2312;GERECHTSHOF (ZUIDWIJK)
11002E5MK;1921;NIEUW ZUID
11002F11-;3320;ST.-CATHARINA (KIEL)
11002F12-;3056;MAURITS SABBELAAN (KIEL)
11002F21-;4198;KOLONIELAAN (CAM. HUYSMANSL.)
11002F223;810;VOLHARDINGSSTRAAT (KIEL)
11002F60-;2073;KIEL - CENTRUM (KIEL)
11002F61-;4905;BOOMSE STWG-BEERSCHOT (KIEL)
11002F62-;2427;BEERSCHOT - STADION (KIEL)
11002F64-;2175;JAN DE VOSLEI (KIEL)
11002F65K;2287;PIUS X (KIEL)
11002F6MJ;0;PETROLEUM - SCHELDEKADEN-Z.
11002F6NK;7;KIELSE POLDER ZUID (KIEL)
11002F6NL;0;KIELSE POLDER MIDDEN (KIEL)
11002F6NM;0;KIELSE POLDER NOORD (KIEL)
11002F6NO;0;KIELSE POLDER ZUID MIDDEN (KIEL)
11002G51-;2875;ST.-LAURENTIUS (ZUIDWIJK)
11002G522;1066;FRANSEN PLAATS (ZUIDWIJK)
11002G53-;3691;HARMONIE (ZUIDWIJK)
11002G54-;2873;KAREL OOMSTRAAT
11002G552;475;C. TEICHMANN PLAATS (ZUIDWIJK)
11002G59-;70;ALBERTPARK (OOSTWIJK)
11002G72-;1011;WILRIJKSPL.-W. (WILRIJKSPLEIN)
11002G73-;674;BLOKKEN-KRUISHOFSTR. (WILR.PL)
11002G74-;645;DEN BRANDT (WILRIJKSPLEIN)
11002G75-;133;OOSTERVELD (WILRIJKSPEIN)
11002G78K;202;NACHTEGALENPARK(WILRIJKSPLEIN) ZUID
11002G78L;0;NACHTEGALENPARK(WILRIJKSPLEIN) NOORD
11002H40-;3822;ST.-AMANDUS (NOORDWIJK)
11002H41-;4285;STUIVENBERG-WEST
11002H43-;4157;ST.-JANSPLEIN-TRAPSTR.(N.WIJK)
11002H44-;3028;STUIVENBERGPLEIN (NOORDWIJK)
11002H4MJ;0;STATION STUIVENBERG
11002H83-;3751;SLACHTHUISWIJK (DAM-SCHIJNPOORT)
11002H84-;612;DAM (DAM - SCHIJNPOORT)
11002H8MJ;8;DAM- LOBROEKDOK (SCHIJNPOORT)
11002J07K;697;OUDE HAVEN WEST
11002J07L;607;OUDE HAVEN OOST
11002J80K;3342;LUCHTBAL-ZUID
11002J82K;1446;IJZERLAAN (DAM - SCHIJNPOORT)
11002J83-;1289;DUBOISSTRAAT (NOORDWIJK)
11002J84-;444;WILLEMDOK (SPAANSE WALLEN)
11002J85-;3292;T EILANDJE
11002J873;106;HOUTDOK
11002J8AN;3037;AN-LUCHTBAL-NOORD
11002K171;118;ALBERTDOK
11002K172;0;MARSHALL-EN INDUSTRIEDOK ESSO
11002K173;2;LEOPOLDDOK FORD-FABRIEKEN
11002K175;0;CHURCHILLDOK-G. M. CONTIN.
11002K1NP;1;AN-LUITHAGEN-TRANSCONTINENTAALWEG
11002K1WN;1;AN-HAVEN/VORMINGSSTATION
11002K214;40;LILLO - FORT
11002K271;0;DISTRICT LILLO TUNNEL-NOORD
11002K272;0;DISTRICT LILLO TUNNEL-ZUID-WEST
11002K2MN;0;DISTRICT LILLO TUNNEL-ZUID-OOST
11002L000;2077;ZANDVLIET-KERN(ZANDVL.-5 DIST)
11002L011;1353;STALSHOEK(ZANDVLIET-5 DISTR. )
11002L022;153;GROTE RUIGEHEIDE(ZANDVL.-5DIS)
11002L07K;0;HAVENGEBIED (ZANDVLIET-5 DIS)
11002L090;223;NOORDLAANPOLDER - VERSPR. BEW.
11002L100;2936;BERENDRECHT - KERN (BERENDRECHT)
11002L111;1100;STEENHOVENSTRAAT (BERENDRECHT)
11002L122;2078;VISWATER(BERENDRECHT - 4 DIST)
11002L17K;0;HAVENGEBIED(BERENDRECHT - 4 D)
11002L18-;71;KRAAIENBERG(BERENDRECHT - 4 D)
11002M0QA;0;SCHELDE-ZUID
11002M0RA;0;SCHELDE-NOORD
11002P00-;1605;EKEREN-CENTRUM
11002P01-;2348;EKEREN-DORP
11002P02-;1536;SCHOONBROEK
11002P03-;2859;DE GEESTEN
11002P04-;2535;HET ZAND
11002P05-;791;LEERHOEKSLAAN
11002P09-;0;VELTWIJCK
11002P100;2370;MARIABURG
11002P111;1557;DE BIST
11002P12-;1026;DE NOTESCHELP
11002P192;0;HOGE BIST
11002P20-;1364;HOEKAKKER
11002P22-;1009;PRINSHOEVELAND
11002P23-;2068;LAGE BIST
11002P242;252;KLAVERVELDEN
11002P2AN;0;EK-LAAR
11002P2AP;1356;EK-LUCASWIJK
11002P392;0;VLOEIENDE
11002P50K;1328;LEUGENBERG
11002P589;153;DE HOECKX
11002P59K;4;KROMMESTRAAT- AKKER
11002P59L;74;BREDESTRAAT- VELDEN
11002P6AK;184;EK-LEUGENBERG-ZUID
11002P6BK;849;EK-SCHOONBROEK - TWEEKRONEN
11002P6CK;875;EK-SCHOONBROEK HANDBOOG
11002P6DK;1494;EK-GR.HAGELKRUIS-L.BAEKELANDSTRAAT
11002P6EK;1660;EK-DONKSE BEEK
11002P6FK;0;EK-EKERSE POLDER
11002P6PK;0;EK-EKERSE PUTTEN
11002Q001;4249;OUD MERKSEM
11002Q012;3989;MERKSEM-CENTRUM
11002Q021;939;LAATLOS
11002Q03-;3521;GAGELVELDEN
11002Q04-;2800;KLUIZEVELDEN
11002Q052;968;EIGEN HEERD
11002Q072;125;DUIVELSHOEK
11002Q091;30;PARK
11002Q10-;3351;OUDE BAREEL
11002Q11-;1559;MERKSEMHEIDE
11002Q12-;4574;KROONWIJK
11002Q13-;3174;MELGESDREEF
11002Q14-;3224;TUINWIJK
11002Q17-;104;MERKSEM-DOKKEN
11002Q201;6783;LAMBRECHTSHOEKEN
11002Q212;3051;LAARSE BAAN-WEST
11002Q222;522;RIETSCHOORVELDEN
11002Q233;1534;LAARSE BAAN-OOST
11002Q241;30;KRUISBAANVELDEN-OOST
11002Q242;906;KRUISBAANVELDEN-WEST
11002Q2AA;1456;T LAAR
11002Q2PK;3;ME-MERKSEMSE POLDER
11002Q30-;273;KLEINE BAREEL
11002Q39-;6;T FORT
11002Q49-;2;SPORTPALEIS
11002R00-;862;DEURNE - GEMEENTEHUIS
11002R01-;2823;PLANKENBERG
11002R02-;1371;DEURNE-HET DORP
11002R03-;4731;GALLIFORT
11002R04-;1767;KREGLINGER
11002R05-;2735;TER RIVIEREN
11002R099;29;RIVIERENHOF-NOORD
11002R101;6364;KRONENBURG
11002R110;5363;BISSCHOPPENHOF
11002R12-;4104;CONFORTA
11002R13-;6430;TEN EEKHOVE
11002R172;59;KANAAL
11002R180;1352;BREM
11002R19-;955;KRUININGE
11002R20-;4459;VENNEBORG
