CD_STAT_SECTOR,prop_type,total_sales
11001A00-,apartments,180
11001A01-,apartments,112
11001A020,apartments,9
11001A030,apartments,29
11001A052,apartments,168
11001A063,apartments,104
11001A091,apartments,7
11001A10-,apartments,6
11001A173,apartments,27
11001A190,apartments,1
11001A21-,apartments,101
11001_UNKNOWN,apartments,4
11002A00-,apartments,563
11002A01-,apartments,334
11002A02-,apartments,197
11002A03-,apartments,160
11002A04-,apartments,270
11002A05-,apartments,237
11002A10-,apartments,512
11002A11-,apartments,523
11002A12-,apartments,272
11002A13-,apartments,555
11002A14-,apartments,337
11002A15-,apartments,484
11002A21-,apartments,295
11002A22-,apartments,306
11002B701,apartments,182
11002B71-,apartments,241
11002B721,apartments,422
11002B742,apartments,169
11002B752,apartments,65
11002B791,apartments,27
11002B813,apartments,316
11002B824,apartments,19
11002C20-,apartments,295
11002C21-,apartments,586
11002C22-,apartments,253
11002C23-,apartments,514
11002C24-,apartments,377
11002C25-,apartments,617
11002C31-,apartments,393
11002C41-,apartments,228
11002C42-,apartments,127
11002C43-,apartments,152
11002C44-,apartments,79
11002C45-,apartments,120
11002D30-,apartments,842
11002D31-,apartments,381
11002D32-,apartments,768
11002D33-,apartments,401
11002D34-,apartments,576
11002D35-,apartments,128
11002D41-,apartments,484
11002D42-,apartments,360
11002E122,apartments,261
11002E131,apartments,295
11002E14-,apartments,922
11002E15-,apartments,357
11002E50-,apartments,675
11002E521,apartments,249
11002E53-,apartments,393
11002E551,apartments,527
11002E5MJ,apartments,84
11002F11-,apartments,98
11002F12-,apartments,31
11002F21-,apartments,867
11002F60-,apartments,75
11002F61-,apartments,179
11002F62-,apartments,48
11002F64-,apartments,8
11002F65-,apartments,331
11002G51-,apartments,276
11002G522,apartments,70
11002G53-,apartments,659
11002G54-,apartments,653
11002G552,apartments,134
11002G59-,apartments,21
11002G72-,apartments,297
11002G73-,apartments,292
11002G74-,apartments,63
11002G75-,apartments,10
11002G780,apartments,7
11002H40-,apartments,148
11002H41-,apartments,148
11002H43-,apartments,419
11002H44-,apartments,59
11002H83-,apartments,259
11002H84-,apartments,112
11002J072,apartments,149
11002J80-,apartments,34
11002J81-,apartments,5
11002J820,apartments,191
11002J83-,apartments,196
11002J84-,apartments,147
11002J85-,apartments,638
11002J873,apartments,1
11002J8AN,apartments,18
11002J912,apartments,49
