name;pop_nbRoum_2012;pop_nbRoum_2022;perc_Roum;pop_nbMaroc_2012;pop_nbMaroc_2022;perc_Maroc;pop_nbSyrie_2012;pop_nbSyrie_2022;perc_Syrie;pop_nbFranc_2012;pop_nbFranc_2022;perc_Franc;pop_nbInde_2012;pop_nbInde_2022;perc_Inde;pop_nbTurc_2012;pop_nbTurc_2022;perc_Turc;pop_nbItalie_2012;pop_nbItalie_2022;perc_Italie;pop_nbPortugal_2012;pop_nbPortugal_2022;perc_Portugal;pop_nbEspagne_2012;pop_nbEspagne_2022;perc_Espagne;pop_nbPologne_2012;pop_nbPologne_2022;perc_Pologne;pop_nbBrésil_2012;pop_nbBresil_2022;perc_Bresil;pop_nbAllemagne_2012;pop_nbAllemagne_2022;perc_Allemagne;pop_nbRDC_2012;pop_nbRDC_2022;perc_RDC;pop_nbBulgarie_2012;pop_nbBulgarie_2022;perc_Bulagarie;pop_nbJapon_2012;pop_nbJapon_2022;perc_Japon;pop_nbGrece_2012;pop_nbGrece_2022;perc_Grece;pop_nbNL_2012;pop_nbNL_2022;perc_NL;pop_nbMoldovie_2012;pop_nbMoldovie_2022;perc_Moldovie;pop_nbUK_2012;pop_nbUK_2022;perc_UK;pop_nbGuinee_2012;pop_nbGuinee_2022;perc_Guinee
Anderlecht;3754;7623;16,85;5706;5036;14,91;53;2133;30,13;2291;2895;4,23;;;0,00;;;0,00;3219;2815;8,01;2202;2446;13,06;2488;2837;9,87;2829;2299;11,46;;;0,00;;;0,00;1043;755;26,25;569;840;9,52;;;0,00;;;0,00;;;0,00;;;0;;;0,00;;;0
Auderghem;320;587;1,30;159;199;0,59;;;0,00;1475;1830;2,68;;;0,00;;;0,00;574;750;2,13;348;431;2,30;486;655;2,28;581;618;3,08;;;0,00;438;463;5,11;;;0,00;;;0,00;814;895;63,25;240;563;8,18;;;0,00;;;0;;;0,00;;;0
Berchem-Sainte-Agathe;401;951;2,10;600;650;1,92;23;116;1,64;412;420;0,61;;;0,00;77;112;2,56;423;377;1,07;173;244;1,30;354;401;1,40;319;269;1,34;;;0,00;;;0,00;183;173;6,02;;;0,00;;;0,00;;;0,00;;;0,00;;;0;;;0,00;;;0
Etterbeek;802;1366;3,02;580;481;1,42;;;0,00;3402;4263;6,23;206;1036;26,16;;;0,00;1765;2699;7,68;924;923;4,93;1143;1837;6,39;2061;1599;7,97;;;0,00;980;1041;11,49;;;0,00;;;0,00;;;0,00;428;823;11,95;;;0,00;;;0;;;0,00;;;0
Evere;546;1346;2,98;857;927;2,74;;;0,00;726;899;1,31;425;2024;51,10;313;429;9,80;820;927;2,64;402;507;2,71;460;689;2,40;668;768;3,83;;;0,00;;;0,00;;;0,00;147;537;6,08;;;0,00;;;0,00;;;0,00;;;0;;;0,00;;;0
Forest;880;1860;4,11;2445;1806;5,35;;;0,00;2569;3975;5,81;;;0,00;;;0,00;1842;1968;5,60;1604;1811;9,67;1448;1631;5,68;1482;1038;5,17;374;476;48,47;274;377;4,16;361;349;12,13;;;0,00;;;0,00;;;0,00;;;0,00;;;0;;;0,00;;;0
Granshoren;451;1617;3,57;512;612;1,81;;;0,00;465;467;0,68;;;0,00;;;0,00;403;372;1,06;162;205;1,09;274;352;1,23;421;375;1,87;;;0,00;;;0,00;211;153;5,32;;;0,00;;;0,00;;;0,00;91;133;4,25;21;124;100;;;0,00;;;0
Ixelles;1142;1659;3,67;1435;1121;3,32;;;0,00;9877;11762;17,20;;;0,00;;;0,00;3298;4736;13,47;1869;1710;9,13;1902;2812;9,79;1871;1213;6,05;;;0,00;1687;1739;19,19;;;0,00;;;0,00;;;0,00;698;1020;14,81;;;0,00;;;0;1596;936;87,97;;;0
Jette;1061;3059;6,76;1263;1211;3,59;91;441;6,23;1062;1192;1,74;;;0,00;;;0,00;756;832;2,37;307;388;2,07;606;743;2,59;936;776;3,87;;;0,00;;;0,00;529;420;14,60;;;0,00;;;0,00;;;0,00;221;243;7,77;;;0;;;0,00;;;0
Woluwe-Saint-Pierre;277;694;1,53;;;0,00;;;0,00;2255;2620;3,83;;;0,00;;;0,00;1090;1529;4,35;592;625;3,34;929;1308;4,55;623;750;3,74;;;0,00;1142;1129;12,46;;;0,00;;;0,00;623;520;36,75;516;770;11,18;448;437;13,98;;;0;;;0,00;;;0
