CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR
11001A00-,269000.0,2023
11001A01-,400000.0,2023
11001A01-,422000.0,2023
11001A052,388750.0,2023
11001A052,392000.0,2023
11002A00-,282500.0,2023
11002A01-,261500.0,2023
11002A05-,264250.0,2023
11002A10-,325000.0,2023
11002A11-,345000.0,2023
11002A12-,277500.0,2023
11002A13-,235000.0,2023
11002A14-,330000.0,2023
11002A15-,195000.0,2023
11002A21-,282000.0,2023
11002A22-,342000.0,2023
11002B701,218000.0,2023
11002B71-,237152.0,2023
11002B721,275000.0,2023
11002B813,282500.0,2023
11002C20-,371716.0,2023
11002C21-,149000.0,2023
11002C22-,180000.0,2023
11002C23-,167500.0,2023
11002C24-,238000.0,2023
11002C25-,292500.0,2023
11002C31-,390000.0,2023
11002C41-,204000.0,2023
11002C42-,262500.0,2023
11002C42-,262500.0,2023
11002D30-,260000.0,2023
11002D31-,218750.0,2023
11002D32-,240000.0,2023
11002D33-,300000.0,2023
11002D34-,500000.0,2023
11002D34-,500000.0,2023
11002D34-,275000.0,2023
11002D41-,315000.0,2023
11002D42-,313000.0,2023
11002E122,329000.0,2023
11002E14-,330000.0,2023
11002E15-,314500.0,2023
11002E50-,530000.0,2023
11002E50-,530000.0,2023
11002E50-,309500.0,2023
11002E521,400000.0,2023
11002E521,400000.0,2023
11002E521,294500.0,2023
11002E53-,219000.0,2023
11002E551,283750.0,2023
11002E5MJ,300000.0,2023
11002F21-,255000.0,2023
11002F61-,265000.0,2023
11002F61-,265000.0,2023
11002F65-,190500.0,2023
11002G51-,325250.0,2023
11002G53-,680000.0,2023
11002G53-,680000.0,2023
11002G53-,301500.0,2023
11002G54-,317000.0,2023
11002G72-,230750.0,2023
11002G73-,156250.0,2023
11002H43-,199000.0,2023
11002H83-,173755.0,2023
11002J072,186750.0,2023
11002J820,275000.0,2023
11002J83-,215500.0,2023
11002J85-,414000.0,2023
11002L000,345000.0,2023
11002L000,335000.0,2023
11002L011,345000.0,2023
11002L100,327500.0,2023
11002L100,330000.0,2023
11002L111,262500.0,2023
11002P00-,284500.0,2023
11002P00-,284500.0,2023
11002P01-,270000.0,2023
11002P01-,271250.0,2023
11002P03-,325000.0,2023
11002P03-,325000.0,2023
11002P04-,371000.0,2023
11002P04-,215000.0,2023
11002P100,384500.0,2023
11002P100,404500.0,2023
11002P111,450000.0,2023
11002P20-,315000.0,2023
11002P20-,315000.0,2023
11002P500,362500.0,2023
11002P500,362500.0,2023
11002P6CK,320000.0,2023
11002P6CK,320000.0,2023
11002Q001,260000.0,2023
11002Q001,260000.0,2023
11002Q001,169000.0,2023
11002Q03-,200000.0,2023
11002Q04-,300000.0,2023
11002Q04-,300000.0,2023
11002Q04-,210000.0,2023
11002Q10-,306000.0,2023
11002Q10-,310500.0,2023
11002Q10-,190000.0,2023
11002Q11-,340000.0,2023
11002Q11-,340000.0,2023
11002Q12-,304000.0,2023
11002Q12-,304000.0,2023
11002Q12-,199000.0,2023
11002Q13-,290000.0,2023
11002Q13-,290000.0,2023
11002Q13-,205000.0,2023
11002Q14-,299950.0,2023
11002Q14-,299950.0,2023
11002Q201,347500.0,2023
11002Q201,347500.0,2023
11002Q201,192000.0,2023
11002Q212,200000.0,2023
11002Q233,200000.0,2023
11002Q242,201000.0,2023
11002R01-,220000.0,2023
11002R03-,257750.0,2023
11002R03-,257750.0,2023
11002R03-,171250.0,2023
11002R05-,320000.0,2023
11002R05-,320000.0,2023
11002R101,281500.0,2023
11002R101,281500.0,2023
11002R101,169500.0,2023
11002R110,183500.0,2023
11002R12-,260000.0,2023
11002R12-,260000.0,2023
11002R13-,242185.0,2023
11002R13-,242185.0,2023
11002R13-,179407.0,2023
11002R180,177500.0,2023
11002R20-,197000.0,2023
11002R21-,199000.0,2023
11002R22-,188000.0,2023
11002R23-,225000.0,2023
11002R24-,222500.0,2023
11002R31-,226250.0,2023
11002R32-,198000.0,2023
11002R33-,199000.0,2023
11002R35-,196500.0,2023
11002R401,424100.0,2023
11002R401,424100.0,2023
11002R41-,352500.0,2023
11002R41-,352500.0,2023
11002R43-,242500.0,2023
11002R44-,330000.0,2023
11002R44-,330000.0,2023
11002R44-,244500.0,2023
11002S00-,227500.0,2023
11002S01-,210000.0,2023
11002S02-,275250.0,2023
11002S02-,275250.0,2023
11002S02-,231000.0,2023
11002S03-,239500.0,2023
11002S04-,187800.0,2023
11002S05-,192000.0,2023
11002S10-,202750.0,2023
11002S11-,199500.0,2023
11002S12-,219000.0,2023
11002S20-,209000.0,2023
11002S2MJ,180000.0,2023
11002S30-,330250.0,2023
11002S30-,330250.0,2023
11002S31-,224194.0,2023
11002S31-,224194.0,2023
11002S41-,246000.0,2023
11002S42-,210000.0,2023
11002T00-,317500.0,2023
11002T00-,317500.0,2023
11002T01-,325000.0,2023
11002T01-,325000.0,2023
11002T03-,483250.0,2023
11002T03-,483250.0,2023
11002T04-,302500.0,2023
11002T05-,400000.0,2023
11002T05-,400000.0,2023
11002T05-,408500.0,2023
11002T10-,547500.0,2023
11002T10-,547500.0,2023
11002T10-,351550.0,2023
11002T111,228495.0,2023
11002T12-,231250.0,2023
11002T13-,294000.0,2023
11002T14-,279600.0,2023
11002T20-,220000.0,2023
11002T23-,357500.0,2023
11002T23-,357500.0,2023
11002T412,273750.0,2023
11002T42-,267000.0,2023
11002U00-,319500.0,2023
11002U00-,319500.0,2023
11002U00-,225000.0,2023
11002U01-,345000.0,2023
11002U01-,345000.0,2023
11002U03-,375500.0,2023
11002U03-,375500.0,2023
11002U10-,237000.0,2023
11002U20-,335000.0,2023
11002U20-,340000.0,2023
11002U20-,208000.0,2023
11002U21-,310000.0,2023
11002U21-,310000.0,2023
11002U21-,205000.0,2023
11002U30-,239000.0,2023
11002U33-,259000.0,2023
11002U40-,422000.0,2023
11002U40-,422000.0,2023
11002V01-,310000.0,2023
11002V01-,310000.0,2023
11002V05-,305500.0,2023
11002V05-,305500.0,2023
11002V10-,306000.0,2023
11002V10-,306000.0,2023
11002V10-,204000.0,2023
11002V11-,168000.0,2023
11002V12-,189875.0,2023
11002V13-,256250.0,2023
11002V13-,256250.0,2023
11002V14-,285000.0,2023
11002V14-,285000.0,2023
11002V20-,306250.0,2023
11002V20-,306250.0,2023
11002V23-,337750.0,2023
11002V23-,340000.0,2023
11002V301,249000.0,2023
11002V301,249000.0,2023
11004A220,279500.0,2023
11005A00-,235000.0,2023
11005A01-,245000.0,2023
11005A01-,245000.0,2023
11005A03-,225000.0,2023
11005A04-,202500.0,2023
11005A04-,202500.0,2023
11005A211,310000.0,2023
11005A211,315000.0,2023
11005A30-,287000.0,2023
11005A30-,287000.0,2023
11007A03-,222500.0,2023
11007A04-,349500.0,2023
11007A04-,349500.0,2023
11007A04-,211000.0,2023
11008A00-,300000.0,2023
11008A01-,319500.0,2023
11008A020,362500.0,2023
11008A020,367500.0,2023
11008A020,267750.0,2023
11008A03-,394000.0,2023
11008A03-,490000.0,2023
11008A04-,410000.0,2023
11008A04-,470000.0,2023
11008A04-,287500.0,2023
11008A0BJ,282000.0,2023
11008A11-,415000.0,2023
11008A20-,387000.0,2023
11008A20-,396500.0,2023
11008A21-,435000.0,2023
11008A21-,472500.0,2023
11008A40-,422500.0,2023
11008A40-,472500.0,2023
11008A49-,535000.0,2023
11008A510,1285000.0,2023
11008A510,1262500.0,2023
11009A000,360000.0,2023
11009A20-,415000.0,2023
11009A20-,415000.0,2023
11009A222,555000.0,2023
11009A222,555000.0,2023
