CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR,CD_TYPE_FR
11001A01-,422000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11001A052,392000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002C42-,262500.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002D34-,500000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E50-,530000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E521,400000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002F61-,265000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002G53-,680000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L000,335000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L011,345000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L100,330000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L111,262500.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P00-,284500.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P01-,271250.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P03-,325000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P04-,371000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P100,404500.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P111,450000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P20-,315000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P500,362500.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P6CK,320000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q001,260000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q04-,300000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q10-,310500.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q11-,340000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q12-,304000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q13-,290000.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q14-,299950.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q201,347500.0,2023,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
