CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR,CD_TYPE_FR
11001A00-,269000.0,2023,Appartements
11002A00-,282500.0,2023,Appartements
11002A01-,261500.0,2023,Appartements
11002A05-,264250.0,2023,Appartements
11002A10-,325000.0,2023,Appartements
11002A11-,345000.0,2023,Appartements
11002A12-,277500.0,2023,Appartements
11002A13-,235000.0,2023,Appartements
11002A14-,330000.0,2023,Appartements
11002A15-,195000.0,2023,Appartements
11002A21-,282000.0,2023,Appartements
11002A22-,342000.0,2023,Appartements
11002B701,218000.0,2023,Appartements
11002B71-,237152.0,2023,Appartements
11002B721,275000.0,2023,Appartements
11002B813,282500.0,2023,Appartements
11002C20-,371716.0,2023,Appartements
11002C21-,149000.0,2023,Appartements
11002C22-,180000.0,2023,Appartements
11002C23-,167500.0,2023,Appartements
11002C24-,238000.0,2023,Appartements
11002C25-,292500.0,2023,Appartements
11002C31-,390000.0,2023,Appartements
11002C41-,204000.0,2023,Appartements
11002D30-,260000.0,2023,Appartements
11002D31-,218750.0,2023,Appartements
11002D32-,240000.0,2023,Appartements
11002D33-,300000.0,2023,Appartements
11002D34-,275000.0,2023,Appartements
11002D41-,315000.0,2023,Appartements
11002D42-,313000.0,2023,Appartements
11002E122,329000.0,2023,Appartements
11002E14-,330000.0,2023,Appartements
11002E15-,314500.0,2023,Appartements
11002E50-,309500.0,2023,Appartements
11002E521,294500.0,2023,Appartements
11002E53-,219000.0,2023,Appartements
11002E551,283750.0,2023,Appartements
11002E5MJ,300000.0,2023,Appartements
11002F21-,255000.0,2023,Appartements
11002F65-,190500.0,2023,Appartements
11002G51-,325250.0,2023,Appartements
11002G53-,301500.0,2023,Appartements
11002G54-,317000.0,2023,Appartements
11002G72-,230750.0,2023,Appartements
11002G73-,156250.0,2023,Appartements
11002H43-,199000.0,2023,Appartements
11002H83-,173755.0,2023,Appartements
11002J072,186750.0,2023,Appartements
11002J820,275000.0,2023,Appartements
11002J83-,215500.0,2023,Appartements
11002J85-,414000.0,2023,Appartements
11002P04-,215000.0,2023,Appartements
11002Q001,169000.0,2023,Appartements
11002Q03-,200000.0,2023,Appartements
11002Q04-,210000.0,2023,Appartements
11002Q10-,190000.0,2023,Appartements
11002Q12-,199000.0,2023,Appartements
11002Q13-,205000.0,2023,Appartements
11002Q201,192000.0,2023,Appartements
11002Q212,200000.0,2023,Appartements
11002Q233,200000.0,2023,Appartements
11002Q242,201000.0,2023,Appartements
11002R01-,220000.0,2023,Appartements
11002R03-,171250.0,2023,Appartements
11002R101,169500.0,2023,Appartements
11002R110,183500.0,2023,Appartements
11002R13-,179407.0,2023,Appartements
11002R180,177500.0,2023,Appartements
11002R20-,197000.0,2023,Appartements
11002R21-,199000.0,2023,Appartements
11002R22-,188000.0,2023,Appartements
11002R23-,225000.0,2023,Appartements
11002R24-,222500.0,2023,Appartements
11002R31-,226250.0,2023,Appartements
11002R32-,198000.0,2023,Appartements
11002R33-,199000.0,2023,Appartements
11002R35-,196500.0,2023,Appartements
11002R43-,242500.0,2023,Appartements
11002R44-,244500.0,2023,Appartements
11002S00-,227500.0,2023,Appartements
11002S01-,210000.0,2023,Appartements
11002S02-,231000.0,2023,Appartements
11002S03-,239500.0,2023,Appartements
11002S04-,187800.0,2023,Appartements
11002S05-,192000.0,2023,Appartements
11002S10-,202750.0,2023,Appartements
11002S11-,199500.0,2023,Appartements
11002S12-,219000.0,2023,Appartements
11002S20-,209000.0,2023,Appartements
11002S2MJ,180000.0,2023,Appartements
11002S41-,246000.0,2023,Appartements
11002S42-,210000.0,2023,Appartements
11002T04-,302500.0,2023,Appartements
11002T05-,408500.0,2023,Appartements
11002T10-,351550.0,2023,Appartements
11002T111,228495.0,2023,Appartements
11002T12-,231250.0,2023,Appartements
11002T13-,294000.0,2023,Appartements
11002T14-,279600.0,2023,Appartements
11002T20-,220000.0,2023,Appartements
11002T412,273750.0,2023,Appartements
11002T42-,267000.0,2023,Appartements
11002U00-,225000.0,2023,Appartements
11002U10-,237000.0,2023,Appartements
11002U20-,208000.0,2023,Appartements
11002U21-,205000.0,2023,Appartements
11002U30-,239000.0,2023,Appartements
11002U33-,259000.0,2023,Appartements
11002V10-,204000.0,2023,Appartements
11002V11-,168000.0,2023,Appartements
11002V12-,189875.0,2023,Appartements
11004A220,279500.0,2023,Appartements
11005A00-,235000.0,2023,Appartements
11005A03-,225000.0,2023,Appartements
11007A03-,222500.0,2023,Appartements
11007A04-,211000.0,2023,Appartements
11008A00-,300000.0,2023,Appartements
11008A01-,319500.0,2023,Appartements
11008A020,267750.0,2023,Appartements
11008A04-,287500.0,2023,Appartements
11008A0BJ,282000.0,2023,Appartements
11009C03-,309250.0,2023,Appartements
11013A01-,220000.0,2023,Appartements
11013A02-,260000.0,2023,Appartements
11023A00-,290000.0,2023,Appartements
11023A02-,181750.0,2023,Appartements
11023B330,225000.0,2023,Appartements
11024A00-,293500.0,2023,Appartements
11029A00-,250000.0,2023,Appartements
11029A201,232500.0,2023,Appartements
11029A242,261000.0,2023,Appartements
11030A00-,197500.0,2023,Appartements
11040A00-,225000.0,2023,Appartements
11040A03-,270000.0,2023,Appartements
11040A201,230000.0,2023,Appartements
11044A001,230000.0,2023,Appartements
11044B022,215000.0,2023,Appartements
11050A000,296500.0,2023,Appartements
11055A10-,324000.0,2023,Appartements
11056B00-,260000.0,2023,Appartements
11057A00-,229000.0,2023,Appartements
12007A001,288500.0,2023,Appartements
12009A200,269000.0,2023,Appartements
12021A02-,235000.0,2023,Appartements
12021A03-,255000.0,2023,Appartements
12021A101,230000.0,2023,Appartements
12021A200,320000.0,2023,Appartements
12021A301,247500.0,2023,Appartements
12025A02-,320000.0,2023,Appartements
12025A06-,240000.0,2023,Appartements
12025A10-,277500.0,2023,Appartements
12025A11-,284000.0,2023,Appartements
12025A401,332000.0,2023,Appartements
12025A620,187000.0,2023,Appartements
12025A690,471250.0,2023,Appartements
12025A912,220000.0,2023,Appartements
12025A921,325117.0,2023,Appartements
12026A040,255000.0,2023,Appartements
12029A00-,328000.0,2023,Appartements
12040A512,248500.0,2023,Appartements
13008A030,210000.0,2023,Appartements
13008A811,251443.0,2023,Appartements
13008A900,220000.0,2023,Appartements
13011A03-,222000.0,2023,Appartements
13011A040,240000.0,2023,Appartements
13025A00-,250000.0,2023,Appartements
13025A03-,230569.0,2023,Appartements
13025A60-,249000.0,2023,Appartements
13035A00-,215000.0,2023,Appartements
13036A000,248750.0,2023,Appartements
13040A000,243000.0,2023,Appartements
13040A031,187500.0,2023,Appartements
13040A042,192000.0,2023,Appartements
13040A601,210000.0,2023,Appartements
13040A613,240000.0,2023,Appartements
13040A622,176750.0,2023,Appartements
13040A700,254250.0,2023,Appartements
13044A000,285000.0,2023,Appartements
21001A011,240000.0,2023,Appartements
21001A120,191000.0,2023,Appartements
21001A32-,175000.0,2023,Appartements
