CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR,CD_TYPE_FR
11001A00-,266000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11001A01-,274500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002C42-,148000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002D34-,274000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002E50-,308000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002E521,263750.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002E551,390000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002F61-,170000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002H40-,149000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002H83-,190000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002L000,185000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002L100,220000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002L122,219000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002P01-,220000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002P02-,205000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002P03-,227250.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002P04-,240000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002P100,305000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002P23-,230000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002Q001,170000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002Q012,175500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002Q04-,205000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002Q10-,185000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002Q12-,199900.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002Q13-,217500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002Q14-,228000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002Q201,225000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002R01-,205000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002R03-,174250.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002R05-,215000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
