CD_SECTOR;POPULATION;TX_DESCR_SECTOR_FR
A00-;2468;AARTSELAAR-CENTRUM
A01-;2773;DE LEEUWERIK
A020;694;BUERSTEDE
A030;408;YSSELAAR
A042;357;KLEINE GRIPPE
A052;2208;LEUG
A063;684;TEN DORPE
A074;32;BRUINEN BAARD
A091;584;KLEISTRAAT - OEVER
A0MA;60;CLEYDAEL-KASTEEL
A0PA;124;ZINKVAL
A10-;757;'T HEIKEN
A173;431;NOTELAAN
A190;381;DE REUKENS
A20-;964;DE KOEKOEK
A21-;1282;VIERPALEN
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
12MQ;0;STABROEK
A00-;2775;ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN )
A01-;1619;KLAPDORP - BROUWERSVLIET
A02-;567;GROENPLAATS (SPAANSE WALLEN)
A03-;1195;HOOGSTRAAT (SPAANSE WALLEN)
A04-;1213;OUDAAN (SPAANSE WALLEN)
A05-;1718;GEVANGENIS (SPAANSE WALLEN)
A081;1;SCHELDEKADEN NOORD
A10-;1559;MEIR - LEYSSTRAAT (SP. WALLEN)
A11-;2125;KIPDORP-ST.-JACOBS (SP.WALLEN)
A12-;1312;K.N.S.-NAT. BANK (SP. WALLEN)
A13-;1960;STADSWAAG-BEGIJNHOF(SP.WALLEN)
A14-;899;TABAKSVEST (SPAANSE WALLEN)
A15-;1371;HESSENHUIS (SPAANSE WALLEN)
A21-;2959;ST.-ANDRIES (SPAANSE WALLEN)
A22-;1594;ST.-MICHIELSKAAI (SP. WALLEN)
B701;5352;LINKEROEVER-ZUID (LINKEROEVER)
B71-;1935;LINKEROEVER - STATION
B721;3954;LINKEROEVER-NOORD
B73-;47;ST.-ANNA (LINKEROEVER)
B742;1498;THOENETLAAN (LINKEROEVER)
B752;162;GLORIANTLAAN (LINKEROEVER)
B782;23;GALGEWEEL (LINKEROEVER)
B791;301;ST.-ANNABOS (LINKEROEVER )
B813;1427;BLANCEFLOERLAAN  (LINKEROEVER)
B824;518;CHARLES DE COSTERLAAN(L.OEVER)
C20-;410;STATIEKWARTIER (STATIONSWIJK)
C21-;2033;ATHENEUM (STATIONSWIJK)
C22-;1988;DE CONINCPLEIN-Z.(STATIONSW.)
C23-;3491;OFFERANDESTRAAT(STATIONSWIJK )
C24-;3619;PROVINCIESTRAAT(STATIONSWIJK )
C25-;3641;PELIKAANSTRAAT (STATIONSWIJK )
C28-;0;STATION - ZOO (STATIONSWIJK )
C29-;0;STADSPARK (STATIONSWIJK )
C31-;1143;JEZUITENCOLLEGE(STATIONSWIJK )
C41-;3096;DAMBRUGGESTRAAT-N.(STATIONSW.)
C42-;3906;DE ZAVEL (NOORDWIJK )
C43-;2326;ST.-WILLEBRORDUS (NOORDWIJK )
C44-;1995;POTGIETERSTRAAT (NOORDWIJK)
C45-;2763;STUIVENBERG ZIEKENHUIS(NOORDW)
C491;0;SCHIJNPOORT (DAM-SCHIJNPOORT )
D30-;4021;CHARLOTTALEI (OOSTWIJK)
D31-;3193;ASTRID BAD (OOSTWIJK)
D32-;4164;ST.-VINCENTIUS (OOSTWIJK)
D33-;3503;STADSPARK-ZUID (OOSTWIJK)
D34-;5506;DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK)
D35-;1698;VAN DIEPENBEECKSTR. (OOSTWIJK)
D38-;26;GAS (OOSTWIJK)
D41-;3218;STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK)
D42-;2399;LAMORINIERESTR.-ZUID (EBES) (OOSTWIJK)
E122;1190;WAALSE KAAI (ZUIDWIJK)
E131;1552;VLAAMSE KAAI (ZUIDWIJK)
E14-;5837;MUSEUMWIJK (ZUIDWIJK)
E15-;1346;GERECHTSHOF (ZUIDWIJK)
E19-;0;OUDE SCHIPPERSDOKKEN(ZUIDWIJK)
E50-;5705;BELL (ZUIDWIJK)
E521;3451;LANGE ELZENSTRAAT (ZUIDWIJK)
E53-;2711;TROONPLAATS (ZUIDWIJK)
E551;2186;GERECHTSHOF (ZUIDWIJK)
E5MJ;293;SPAGHETTIKNOOP (KIEL)
F11-;3104;ST.-CATHARINA (KIEL)
F12-;3335;MAURITS SABBELAAN (KIEL)
F21-;4138;KOLONIELAAN (CAM. HUYSMANSL.)
F223;700;VOLHARDINGSSTRAAT (KIEL)
F60-;1751;KIEL - CENTRUM (KIEL)
F61-;4647;BOOMSE STWG-BEERSCHOT (KIEL)
F62-;2577;BEERSCHOT - STADION (KIEL)
F64-;2397;JAN DE VOSLEI (KIEL)
F65-;2188;PIUS X (KIEL)
F6MJ;4;PETROLEUM - SCHELDEKADEN-Z.
F6NJ;6;KIELSE POLDER (KIEL)
G51-;2909;ST.-LAURENTIUS (ZUIDWIJK)
G522;1141;FRANSEN PLAATS (ZUIDWIJK)
G53-;3174;HARMONIE (ZUIDWIJK)
G54-;2318;KAREL OOMSTRAAT
G552;443;C. TEICHMANN PLAATS (ZUIDWIJK)
G59-;80;ALBERTPARK (OOSTWIJK)
G72-;956;WILRIJKSPL.-W. (WILRIJKSPLEIN)
G73-;662;BLOKKEN-KRUISHOFSTR. (WILR.PL)
G74-;651;DEN BRANDT (WILRIJKSPLEIN)
G75-;104;OOSTERVELD (WILRIJKSPEIN)
G780;149;NACHTEGALENPARK(WILRIJKSPLEIN)
H40-;3816;ST.-AMANDUS (NOORDWIJK)
H41-;4819;STUIVENBERG-WEST
H43-;3991;ST.-JANSPLEIN-TRAPSTR.(N.WIJK)
H44-;3239;STUIVENBERGPLEIN (NOORDWIJK)
H4MJ;0;STATION STUIVENBERG
H83-;3476;SLACHTHUISWIJK (DAM-SCHIJNPOORT)
H84-;400;DAM (DAM - SCHIJNPOORT)
H8MJ;16;DAM- LOBROEKDOK (SCHIJNPOORT)
J072;116;OUDE HAVEN
J80-;3594;LUCHTBAL-ZUID
J81-;2083;LUCHTBAL-NOORD
J820;756;IJZERLAAN (DAM - SCHIJNPORT)
J83-;1401;DUBOISSTRAAT (NOORDWIJK)
J84-;344;WILLEMDOK (SPAANSE WALLEN)
J85-;1565;'T EILANDJE
J873;14;HOUTDOK
J881;2;POLDER (EKEREN)
J901;704;SCHOONBROEK HANDBOOG
J912;1177;GR.HAGELKRUIS-L. BAEKELANDSTR.
J923;753;SCHOONBROEK - TWEEKRONEN
J932;1770;DONKSE BEEK (EKEREN)
J94-;203;LEUGENBERG-ZUID (EKEREN)
K171;51;ALBERTDOK
K172;0;MARSHALL-EN INDUSTRIEDOK ESSO
K173;12;LEOPOLDDOK FORD-FABRIEKEN
K174;2;LUITHAGEN FORD-FABRIEKEN
K175;3;CHURCHILLDOK-G. M. CONTIN.
K1MN;1;WALENHOEK ANTWERPEN-NOORD (VORMINGSSTATION)
K214;35;LILLO - FORT
K271;1;DISTRICT LILLO TUNNEL-NOORD
K272;2;DISTRICT LILLO TUNNEL-ZUID
K2MN;0;DISTRICT LILLO TUNNEL-ZUID
L000;2047;ZANDVLIET-KERN(ZANDVL.-5 DIST)
L011;1373;STALSHOEK(ZANDVLIET-5 DISTR. )
L022;174;GROTE RUIGEHEIDE(ZANDVL.-5DIS)
L070;0;HAVENGEBIED (ZANDVLIET-5 DIS)
L090;198;NOORDLAANPOLDER-VERSPR. BEW. (ZANDVLIET - 5 DISTRICT)
L100;2833;BERENDRECHT - KERN (BERENDRECHT - 4 DISTRICT)
L111;953;STEENHOVENSTRAAT (BERENDRECHT - 4 DISTRICT)
L122;2122;VISWATER(BERENDRECHT - 4 DIST)
