CD_YEAR;CD_SECTOR;MS_AVG_TOT_NET_TAXABLE_INC;TX_SECTOR_DESCR_FR
2023;11001A00-;46064.0;AARTSELAAR-CENTRUM
2023;11001A01-;52455.0;DE LEEUWERIK
2023;11001A020;63601.0;BUERSTEDE
2023;11001A030;43691.0;YSSELAAR
2023;11001A042;62166.0;KLEINE GRIPPE
2023;11001A052;44869.0;LEUG
2023;11001A063;47713.0;TEN DORPE
2023;11001A074;;BRUINEN BAARD
2023;11001A091;62801.0;KLEISTRAAT - OEVER
2023;11001A0MA;;CLEYDAEL-KASTEEL
2023;11001A0PA;59737.0;ZINKVAL
2023;11001A10-;49421.0;'T HEIKEN
2023;11001A173;35338.0;NOTELAAN
2023;11001A190;59534.0;DE REUKENS
2023;11001A20-;54145.0;DE KOEKOEK
2023;11001A21-;47125.0;VIERPALEN
2023;11001ZZZZ;;NON LOCALISABLE DANS UN SECTEUR
2023;11002A00-;35509.0;ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN )
2023;11002A01-;32124.0;KLAPDORP - BROUWERSVLIET
2023;11002A02-;;GROENPLAATS (SPAANSE WALLEN)
2023;11002A03-;;HOOGSTRAAT (SPAANSE WALLEN)
2023;11002A04-;32762.0;OUDAAN (SPAANSE WALLEN)
2023;11002A05-;32859.0;GEVANGENIS (SPAANSE WALLEN)
2023;11002A10-;38585.0;MEIR - LEYSSTRAAT (SP. WALLEN)
2023;11002A11-;34932.0;KIPDORP-ST.-JACOBS (SP.WALLEN)
2023;11002A12-;45974.0;K.N.S.-NAT. BANK (SP. WALLEN)
2023;11002A13-;33344.0;STADSWAAG-BEGIJNHOF(SP.WALLEN)
2023;11002A14-;42664.0;TABAKSVEST (SPAANSE WALLEN)
2023;11002A15-;38252.0;HESSENHUIS (SPAANSE WALLEN)
2023;11002A21-;31790.0;ST.-ANDRIES (SPAANSE WALLEN)
2023;11002A22-;39988.0;ST.-MICHIELSKAAI (SP. WALLEN)
2023;11002B701;25226.0;LINKEROEVER-ZUID (LINKEROEVER)
2023;11002B71-;38130.0;LINKEROEVER - STATION
2023;11002B721;36454.0;LINKEROEVER-NOORD
2023;11002B73-;34147.0;ST.-ANNA (LINKEROEVER)
2023;11002B742;41687.0;THOENETLAAN (LINKEROEVER)
2023;11002B752;36768.0;GLORIANTLAAN (LINKEROEVER)
2023;11002B782;11204.0;GALGEWEEL (LINKEROEVER)
2023;11002B791;40865.0;ST.-ANNABOS (LINKEROEVER )
