CD_STAT_SECTOR,prop_type,total_sales
11001A00-,2-3 facades house,214
11001A01-,2-3 facades house,239
11001A020,2-3 facades house,42
11001A030,2-3 facades house,69
11001A042,2-3 facades house,2
11001A052,2-3 facades house,163
11001A063,2-3 facades house,28
11001A091,2-3 facades house,12
11001A0PA,2-3 facades house,1
11001A10-,2-3 facades house,57
11001A173,2-3 facades house,13
11001A190,2-3 facades house,32
11001A20-,2-3 facades house,97
11001A21-,2-3 facades house,115
11001_UNKNOWN,2-3 facades house,16
11002A00-,2-3 facades house,64
11002A01-,2-3 facades house,32
11002A02-,2-3 facades house,2
11002A03-,2-3 facades house,26
11002A04-,2-3 facades house,46
11002A05-,2-3 facades house,40
11002A10-,2-3 facades house,12
11002A11-,2-3 facades house,90
11002A12-,2-3 facades house,6
11002A13-,2-3 facades house,72
11002A14-,2-3 facades house,3
11002A15-,2-3 facades house,46
11002A21-,2-3 facades house,54
11002A22-,2-3 facades house,15
11002B701,2-3 facades house,60
11002B71-,2-3 facades house,50
11002B721,2-3 facades house,156
11002B742,2-3 facades house,59
11002B791,2-3 facades house,2
11002B813,2-3 facades house,63
11002C20-,2-3 facades house,2
11002C21-,2-3 facades house,40
11002C22-,2-3 facades house,51
11002C23-,2-3 facades house,69
11002C24-,2-3 facades house,91
11002C25-,2-3 facades house,39
11002C31-,2-3 facades house,1
11002C41-,2-3 facades house,91
11002C42-,2-3 facades house,198
11002C43-,2-3 facades house,142
11002C44-,2-3 facades house,127
11002C45-,2-3 facades house,170
11002D30-,2-3 facades house,25
11002D31-,2-3 facades house,45
11002D32-,2-3 facades house,109
11002D33-,2-3 facades house,65
11002D34-,2-3 facades house,438
11002D35-,2-3 facades house,54
11002D38-,2-3 facades house,4
11002D41-,2-3 facades house,123
11002D42-,2-3 facades house,142
11002E122,2-3 facades house,5
11002E131,2-3 facades house,27
11002E14-,2-3 facades house,175
11002E15-,2-3 facades house,51
11002E50-,2-3 facades house,245
11002E521,2-3 facades house,284
11002E53-,2-3 facades house,90
11002E551,2-3 facades house,155
11002F11-,2-3 facades house,150
11002F12-,2-3 facades house,63
11002F21-,2-3 facades house,104
11002F60-,2-3 facades house,150
11002F61-,2-3 facades house,347
11002F62-,2-3 facades house,87
11002F64-,2-3 facades house,7
11002F65-,2-3 facades house,121
11002G51-,2-3 facades house,109
11002G522,2-3 facades house,103
11002G53-,2-3 facades house,135
11002G54-,2-3 facades house,126
11002G552,2-3 facades house,12
11002G59-,2-3 facades house,5
11002G72-,2-3 facades house,22
11002G74-,2-3 facades house,9
11002G75-,2-3 facades house,3
11002H40-,2-3 facades house,180
11002H41-,2-3 facades house,159
11002H43-,2-3 facades house,142
11002H44-,2-3 facades house,133
11002H83-,2-3 facades house,180
11002H84-,2-3 facades house,11
11002J80-,2-3 facades house,2
11002J81-,2-3 facades house,64
11002J820,2-3 facades house,51
11002J83-,2-3 facades house,24
11002J84-,2-3 facades house,2
11002J85-,2-3 facades house,17
11002J8AN,2-3 facades house,62
11002J901,2-3 facades house,52
11002J912,2-3 facades house,74
11002J923,2-3 facades house,61
11002J932,2-3 facades house,2
11002J94-,2-3 facades house,11
11002K214,2-3 facades house,10
11002L000,2-3 facades house,266
11002L011,2-3 facades house,150
11002L022,2-3 facades house,6
11002L090,2-3 facades house,4
11002L100,2-3 facades house,307
11002L111,2-3 facades house,132
11002L122,2-3 facades house,171
11002P00-,2-3 facades house,217
11002P01-,2-3 facades house,318
11002P02-,2-3 facades house,234
11002P03-,2-3 facades house,320
11002P04-,2-3 facades house,173
11002P05-,2-3 facades house,99
11002P100,2-3 facades house,289
11002P111,2-3 facades house,138
11002P12-,2-3 facades house,110
11002P20-,2-3 facades house,200
11002P21-,2-3 facades house,37
11002P22-,2-3 facades house,166
11002P23-,2-3 facades house,197
11002P242,2-3 facades house,3
11002P2AP,2-3 facades house,49
11002P500,2-3 facades house,131
11002P589,2-3 facades house,5
11002P590,2-3 facades house,3
11002P6AK,2-3 facades house,24
11002P6BK,2-3 facades house,75
11002P6CK,2-3 facades house,84
11002P6DK,2-3 facades house,94
11002P6EK,2-3 facades house,5
11002Q001,2-3 facades house,276
11002Q012,2-3 facades house,298
11002Q021,2-3 facades house,51
11002Q03-,2-3 facades house,169
11002Q04-,2-3 facades house,257
11002Q052,2-3 facades house,93
11002Q072,2-3 facades house,7
11002Q091,2-3 facades house,4
11002Q10-,2-3 facades house,288
11002Q11-,2-3 facades house,144
11002Q12-,2-3 facades house,442
11002Q13-,2-3 facades house,165
11002Q14-,2-3 facades house,316
11002Q17-,2-3 facades house,2
11002Q201,2-3 facades house,334
11002Q212,2-3 facades house,121
11002Q222,2-3 facades house,50
11002Q233,2-3 facades house,74
11002Q242,2-3 facades house,29
11002Q2AA,2-3 facades house,152
11002Q2PP,2-3 facades house,2
11002Q30-,2-3 facades house,24
11002R00-,2-3 facades house,70
11002R01-,2-3 facades house,168
11002R02-,2-3 facades house,53
11002R03-,2-3 facades house,288
11002R04-,2-3 facades house,121
11002R05-,2-3 facades house,246
11002R099,2-3 facades house,4
11002R101,2-3 facades house,463
11002R110,2-3 facades house,67
11002R12-,2-3 facades house,426
11002R13-,2-3 facades house,570
11002R172,2-3 facades house,3
11002R180,2-3 facades house,10
11002R19-,2-3 facades house,6
11002R20-,2-3 facades house,155
11002R21-,2-3 facades house,27
11002R22-,2-3 facades house,52
11002R23-,2-3 facades house,123
11002R24-,2-3 facades house,232
11002R30-,2-3 facades house,85
11002R31-,2-3 facades house,138
11002R32-,2-3 facades house,35
11002R33-,2-3 facades house,216
11002R34-,2-3 facades house,38
11002R35-,2-3 facades house,14
11002R39-,2-3 facades house,1
11002R401,2-3 facades house,261
11002R41-,2-3 facades house,239
11002R42-,2-3 facades house,95
11002R43-,2-3 facades house,113
11002R44-,2-3 facades house,213
11002R47-,2-3 facades house,8
11002S00-,2-3 facades house,218
11002S01-,2-3 facades house,201
11002S02-,2-3 facades house,164
11002S03-,2-3 facades house,82
11002S04-,2-3 facades house,204
11002S05-,2-3 facades house,85
11002S10-,2-3 facades house,52
11002S11-,2-3 facades house,161
11002S12-,2-3 facades house,105
11002S13-,2-3 facades house,40
11002S30-,2-3 facades house,261
11002S31-,2-3 facades house,317
11002S41-,2-3 facades house,156
11002S42-,2-3 facades house,73
11002S43-,2-3 facades house,100
11002T00-,2-3 facades house,291
11002T01-,2-3 facades house,255
11002T02-,2-3 facades house,63
11002T03-,2-3 facades house,262
11002T04-,2-3 facades house,67
11002T05-,2-3 facades house,191
11002T10-,2-3 facades house,155
11002T111,2-3 facades house,29
11002T12-,2-3 facades house,86
11002T13-,2-3 facades house,153
11002T14-,2-3 facades house,143
11002T180,2-3 facades house,3
11002T20-,2-3 facades house,116
11002T21-,2-3 facades house,147
11002T22-,2-3 facades house,215
11002T23-,2-3 facades house,175
11002T24-,2-3 facades house,73
11002T25-,2-3 facades house,5
11002T30-,2-3 facades house,166
11002T39-,2-3 facades house,3
11002T412,2-3 facades house,6
11002T42-,2-3 facades house,78
11002U00-,2-3 facades house,200
11002U01-,2-3 facades house,203
11002U02-,2-3 facades house,277
11002U03-,2-3 facades house,273
11002U09-,2-3 facades house,5
11002U10-,2-3 facades house,207
11002U11-,2-3 facades house,124
11002U20-,2-3 facades house,365
11002U21-,2-3 facades house,369
11002U22-,2-3 facades house,46
11002U30-,2-3 facades house,204
11002U31-,2-3 facades house,167
11002U32-,2-3 facades house,56
11002U33-,2-3 facades house,88
11002U40-,2-3 facades house,150
11002U41-,2-3 facades house,32
11002U43-,2-3 facades house,25
11002U47-,2-3 facades house,13
11002U57-,2-3 facades house,24
11002U60-,2-3 facades house,43
11002V00-,2-3 facades house,128
11002V01-,2-3 facades house,253
11002V02-,2-3 facades house,111
11002V03-,2-3 facades house,149
11002V04-,2-3 facades house,95
11002V05-,2-3 facades house,312
11002V099,2-3 facades house,2
11002V10-,2-3 facades house,453
11002V11-,2-3 facades house,286
11002V12-,2-3 facades house,29
11002V13-,2-3 facades house,304
11002V14-,2-3 facades house,291
11002V19-,2-3 facades house,5
11002V20-,2-3 facades house,157
11002V21-,2-3 facades house,14
11002V22-,2-3 facades house,179
11002V23-,2-3 facades house,217
11002V301,2-3 facades house,593
11002V312,2-3 facades house,134
11002V322,2-3 facades house,164
11002_UNKNOWN,2-3 facades house,151
11004A00-,2-3 facades house,85
11004A01-,2-3 facades house,46
11004A02-,2-3 facades house,25
11004A03-,2-3 facades house,91
11004A081,2-3 facades house,6
11004A09-,2-3 facades house,14
11004A10-,2-3 facades house,83
11004A18-,2-3 facades house,2
11004A19-,2-3 facades house,20
11004A21-,2-3 facades house,43
11004A220,2-3 facades house,132
11004A23-,2-3 facades house,20
11004A242,2-3 facades house,18
11004A29-,2-3 facades house,3
11004B000,2-3 facades house,74
11004B010,2-3 facades house,8
11004B022,2-3 facades house,9
11004B081,2-3 facades house,13
11004B090,2-3 facades house,9
11004_UNKNOWN,2-3 facades house,14
11005A00-,2-3 facades house,81
11005A01-,2-3 facades house,355
11005A02-,2-3 facades house,106
11005A03-,2-3 facades house,97
11005A04-,2-3 facades house,289
11005A051,2-3 facades house,46
11005A072,2-3 facades house,14
11005A093,2-3 facades house,12
11005A10-,2-3 facades house,186
