CD_STAT_SECTOR,CD_YEAR,MS_P10,CD_TYPE_FR
11001A00-,2013,160000.0,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11001A00-,2013,160000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11001A01-,2013,205000.0,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11001A01-,2013,220000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002A00-,2013,77500.0,Appartements
11002A04-,2013,137300.0,Appartements
11002A05-,2013,115000.0,Appartements
11002A10-,2013,100000.0,Appartements
11002A11-,2013,82500.0,Appartements
11002A12-,2013,78000.0,Appartements
11002A13-,2013,87500.0,Appartements
11002A14-,2013,40000.0,Appartements
11002A22-,2013,154000.0,Appartements
11002B71-,2013,101500.0,Appartements
11002B721,2013,135000.0,Appartements
11002B813,2013,100000.0,Appartements
11002C21-,2013,72000.0,Appartements
11002C22-,2013,45000.0,Appartements
11002C23-,2013,51000.0,Appartements
11002C24-,2013,95000.0,Appartements
11002C25-,2013,63750.0,Appartements
11002C31-,2013,130000.0,Appartements
11002C42-,2013,70000.0,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002C42-,2013,70000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002D30-,2013,65000.0,Appartements
11002D31-,2013,70000.0,Appartements
11002D32-,2013,67000.0,Appartements
11002D33-,2013,125000.0,Appartements
11002D34-,2013,195000.0,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002D34-,2013,195000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002D34-,2013,73000.0,Appartements
11002D41-,2013,47000.0,Appartements
11002D42-,2013,51500.0,Appartements
11002E122,2013,110000.0,Appartements
11002E131,2013,168000.0,Appartements
11002E14-,2013,90000.0,Appartements
11002E15-,2013,100000.0,Appartements
11002E50-,2013,183000.0,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002E50-,2013,183000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E50-,2013,95000.0,Appartements
11002E521,2013,160000.0,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002E521,2013,160000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E53-,2013,70000.0,Appartements
11002E551,2013,200000.0,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002E551,2013,200000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E551,2013,60000.0,Appartements
11002F21-,2013,110000.0,Appartements
11002F61-,2013,115000.0,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11002F61-,2013,115000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002F65-,2013,85000.0,Appartements
11002G51-,2013,84900.0,Appartements
11002G53-,2013,69000.0,Appartements
11002G54-,2013,79000.0,Appartements
