CD_STAT_SECTOR,CD_YEAR,MS_P75
11001A00-,2023,295250.0
11001A01-,2023,475000.0
11001A01-,2023,580000.0
11001A052,2023,430000.0
11001A052,2023,445000.0
11002A00-,2023,386500.0
11002A01-,2023,393000.0
11002A05-,2023,342092.0
11002A10-,2023,479000.0
11002A11-,2023,435000.0
11002A12-,2023,441000.0
11002A13-,2023,343000.0
11002A14-,2023,415000.0
11002A15-,2023,314500.0
11002A21-,2023,395000.0
11002A22-,2023,452500.0
11002B701,2023,245000.0
11002B71-,2023,255000.0
11002B721,2023,354500.0
11002B813,2023,343750.0
11002C20-,2023,459000.0
11002C21-,2023,276000.0
11002C22-,2023,225500.0
11002C23-,2023,222500.0
11002C24-,2023,285000.0
11002C25-,2023,357500.0
11002C31-,2023,460000.0
11002C41-,2023,239000.0
11002C42-,2023,382000.0
11002C42-,2023,382000.0
11002D30-,2023,349000.0
11002D31-,2023,300000.0
11002D32-,2023,356000.0
11002D33-,2023,410000.0
11002D34-,2023,645000.0
11002D34-,2023,645000.0
11002D34-,2023,355000.0
11002D41-,2023,470000.0
11002D42-,2023,378000.0
11002E122,2023,402000.0
11002E14-,2023,428250.0
11002E15-,2023,375000.0
11002E50-,2023,662055.0
11002E50-,2023,662055.0
11002E50-,2023,455000.0
11002E521,2023,680000.0
11002E521,2023,680000.0
11002E521,2023,373500.0
11002E53-,2023,308250.0
11002E551,2023,327000.0
11002E5MJ,2023,440000.0
11002F21-,2023,310000.0
11002F61-,2023,290000.0
11002F61-,2023,290000.0
11002F65-,2023,215000.0
11002G51-,2023,370250.0
11002G53-,2023,756000.0
11002G53-,2023,756000.0
11002G53-,2023,389000.0
11002G54-,2023,420000.0
11002G72-,2023,285000.0
11002G73-,2023,180000.0
11002H43-,2023,265000.0
11002H83-,2023,200850.0
11002J072,2023,293175.0
11002J820,2023,320000.0
11002J83-,2023,272500.0
11002J85-,2023,498900.0
11002L000,2023,430000.0
11002L000,2023,421500.0
11002L011,2023,427500.0
11002L100,2023,445000.0
11002L100,2023,465000.0
11002L111,2023,395000.0
11002P00-,2023,317500.0
11002P00-,2023,317500.0
11002P01-,2023,320000.0
11002P01-,2023,325000.0
11002P03-,2023,365000.0
11002P03-,2023,365000.0
11002P04-,2023,468500.0
11002P04-,2023,239500.0
11002P100,2023,450000.0
11002P100,2023,483500.0
11002P111,2023,520000.0
11002P20-,2023,380500.0
11002P20-,2023,380500.0
11002P500,2023,435000.0
11002P500,2023,435000.0
11002P6CK,2023,335000.0
11002P6CK,2023,335000.0
11002Q001,2023,310000.0
11002Q001,2023,310000.0
11002Q001,2023,197500.0
11002Q03-,2023,230000.0
11002Q04-,2023,345000.0
11002Q04-,2023,345000.0
11002Q04-,2023,225000.0
11002Q10-,2023,345000.0
11002Q10-,2023,345050.0
11002Q10-,2023,233000.0
11002Q11-,2023,405000.0
11002Q11-,2023,405000.0
11002Q12-,2023,345000.0
11002Q12-,2023,345000.0
11002Q12-,2023,230000.0
11002Q13-,2023,320000.0
11002Q13-,2023,320000.0
11002Q13-,2023,235000.0
11002Q14-,2023,337500.0
11002Q14-,2023,337500.0
11002Q201,2023,359500.0
11002Q201,2023,359500.0
11002Q201,2023,220000.0
11002Q212,2023,240000.0
11002Q233,2023,220000.0
11002Q242,2023,218500.0
11002R01-,2023,257000.0
11002R03-,2023,312000.0
11002R03-,2023,312000.0
11002R03-,2023,193000.0
11002R05-,2023,430000.0
11002R05-,2023,430000.0
11002R101,2023,333000.0
11002R101,2023,333000.0
11002R101,2023,187500.0
11002R110,2023,200000.0
11002R12-,2023,320000.0
11002R12-,2023,320000.0
11002R13-,2023,290000.0
11002R13-,2023,290000.0
11002R13-,2023,215000.0
11002R180,2023,195000.0
11002R20-,2023,242000.0
11002R21-,2023,227000.0
11002R22-,2023,207000.0
11002R23-,2023,250000.0
11002R24-,2023,234500.0
11002R31-,2023,260000.0
11002R32-,2023,245000.0
11002R33-,2023,240000.0
11002R35-,2023,228500.0
11002R401,2023,450000.0
11002R401,2023,450000.0
11002R41-,2023,379000.0
11002R41-,2023,379000.0
11002R43-,2023,273000.0
11002R44-,2023,336000.0
11002R44-,2023,360000.0
11002R44-,2023,280000.0
11002S00-,2023,250000.0
11002S01-,2023,249000.0
11002S02-,2023,362500.0
11002S02-,2023,362500.0
11002S02-,2023,261000.0
11002S03-,2023,251500.0
11002S04-,2023,230000.0
11002S05-,2023,235000.0
11002S10-,2023,235500.0
11002S11-,2023,234000.0
11002S12-,2023,260000.0
11002S20-,2023,249000.0
11002S2MJ,2023,217500.0
11002S30-,2023,386500.0
11002S30-,2023,386500.0
11002S31-,2023,297000.0
11002S31-,2023,297000.0
11002S41-,2023,300000.0
11002S42-,2023,260000.0
11002T00-,2023,390000.0
11002T00-,2023,390000.0
11002T01-,2023,440000.0
11002T01-,2023,440000.0
11002T03-,2023,660000.0
11002T03-,2023,660000.0
11002T04-,2023,395000.0
11002T05-,2023,473500.0
11002T05-,2023,473500.0
11002T05-,2023,455000.0
11002T10-,2023,778750.0
11002T10-,2023,778750.0
11002T10-,2023,390000.0
11002T111,2023,265000.0
11002T12-,2023,294500.0
11002T13-,2023,359500.0
11002T14-,2023,318750.0
11002T20-,2023,280000.0
11002T23-,2023,432100.0
11002T23-,2023,432100.0
11002T412,2023,348500.0
11002T42-,2023,305000.0
11002U00-,2023,353500.0
11002U00-,2023,353500.0
11002U00-,2023,254000.0
11002U01-,2023,427000.0
11002U01-,2023,427000.0
11002U03-,2023,460000.0
11002U03-,2023,460000.0
11002U10-,2023,289000.0
11002U20-,2023,390000.0
11002U20-,2023,410000.0
11002U20-,2023,232500.0
11002U21-,2023,350000.0
11002U21-,2023,350000.0
11002U21-,2023,220000.0
11002U30-,2023,275000.0
11002U33-,2023,309000.0
11002U40-,2023,475000.0
11002U40-,2023,475000.0
11002V01-,2023,385000.0
11002V01-,2023,385000.0
11002V05-,2023,394250.0
11002V05-,2023,394250.0
11002V10-,2023,332500.0
11002V10-,2023,332500.0
11002V10-,2023,233000.0
11002V11-,2023,200000.0
11002V12-,2023,232000.0
11002V13-,2023,340000.0
11002V13-,2023,340000.0
11002V14-,2023,369000.0
