CD_STAT_SECTOR,CD_YEAR,MS_P90,CD_TYPE_FR
11001A00-,2023,318500.0,Appartements
11002A00-,2023,831500.0,Appartements
11002A01-,2023,505000.0,Appartements
11002A05-,2023,530000.0,Appartements
11002A10-,2023,660000.0,Appartements
11002A11-,2023,595000.0,Appartements
11002A12-,2023,750000.0,Appartements
11002A13-,2023,440000.0,Appartements
11002A14-,2023,627500.0,Appartements
11002A15-,2023,383500.0,Appartements
11002A21-,2023,740000.0,Appartements
11002A22-,2023,1047500.0,Appartements
11002B701,2023,295000.0,Appartements
11002B71-,2023,285000.0,Appartements
11002B721,2023,500000.0,Appartements
11002B813,2023,595000.0,Appartements
11002C20-,2023,590228.0,Appartements
11002C21-,2023,355000.0,Appartements
11002C22-,2023,355000.0,Appartements
11002C23-,2023,258000.0,Appartements
11002C24-,2023,340000.0,Appartements
11002C25-,2023,480000.0,Appartements
11002C31-,2023,700000.0,Appartements
11002C41-,2023,265000.0,Appartements
11002D30-,2023,463000.0,Appartements
11002D31-,2023,350000.0,Appartements
11002D32-,2023,435000.0,Appartements
11002D33-,2023,550000.0,Appartements
11002D34-,2023,429392.0,Appartements
11002D41-,2023,662500.0,Appartements
11002D42-,2023,420000.0,Appartements
11002E122,2023,750000.0,Appartements
11002E14-,2023,504000.0,Appartements
11002E15-,2023,425000.0,Appartements
11002E50-,2023,575085.0,Appartements
11002E521,2023,482000.0,Appartements
11002E53-,2023,385005.0,Appartements
11002E551,2023,375000.0,Appartements
11002E5MJ,2023,603306.0,Appartements
11002F21-,2023,345000.0,Appartements
11002F65-,2023,237000.0,Appartements
11002G51-,2023,477500.0,Appartements
11002G53-,2023,495000.0,Appartements
11002G54-,2023,635000.0,Appartements
11002G72-,2023,332668.0,Appartements
11002G73-,2023,200000.0,Appartements
11002H43-,2023,300000.0,Appartements
11002H83-,2023,298000.0,Appartements
11002J072,2023,497000.0,Appartements
11002J820,2023,395000.0,Appartements
11002J83-,2023,319000.0,Appartements
11002J85-,2023,900000.0,Appartements
11002P04-,2023,260000.0,Appartements
11002Q001,2023,229000.0,Appartements
11002Q03-,2023,240000.0,Appartements
11002Q04-,2023,315000.0,Appartements
11002Q10-,2023,286000.0,Appartements
11002Q12-,2023,249000.0,Appartements
11002Q13-,2023,250000.0,Appartements
11002Q201,2023,248000.0,Appartements
11002Q212,2023,263000.0,Appartements
11002Q233,2023,232000.0,Appartements
11002Q242,2023,235000.0,Appartements
11002R01-,2023,302000.0,Appartements
11002R03-,2023,214000.0,Appartements
11002R101,2023,199000.0,Appartements
11002R110,2023,245000.0,Appartements
11002R13-,2023,275000.0,Appartements
11002R180,2023,225000.0,Appartements
11002R20-,2023,282000.0,Appartements
11002R21-,2023,260000.0,Appartements
11002R22-,2023,235000.0,Appartements
11002R23-,2023,285000.0,Appartements
11002R24-,2023,345000.0,Appartements
11002R31-,2023,317500.0,Appartements
11002R32-,2023,289000.0,Appartements
11002R33-,2023,276000.0,Appartements
11002R35-,2023,255000.0,Appartements
11002R43-,2023,302500.0,Appartements
11002R44-,2023,320000.0,Appartements
11002S00-,2023,329000.0,Appartements
11002S01-,2023,325000.0,Appartements
11002S02-,2023,306000.0,Appartements
11002S03-,2023,301000.0,Appartements
11002S04-,2023,400000.0,Appartements
11002S05-,2023,285000.0,Appartements
11002S10-,2023,240000.0,Appartements
11002S11-,2023,260000.0,Appartements
11002S12-,2023,325000.0,Appartements
11002S20-,2023,259000.0,Appartements
11002S2MJ,2023,228530.0,Appartements
11002S41-,2023,380000.0,Appartements
11002S42-,2023,285000.0,Appartements
11002T04-,2023,830000.0,Appartements
11002T05-,2023,598000.0,Appartements
11002T10-,2023,462500.0,Appartements
11002T111,2023,327500.0,Appartements
11002T12-,2023,315000.0,Appartements
11002T13-,2023,485000.0,Appartements
11002T14-,2023,353000.0,Appartements
11002T20-,2023,330000.0,Appartements
11002T412,2023,405000.0,Appartements
11002T42-,2023,370000.0,Appartements
11002U00-,2023,344000.0,Appartements
11002U10-,2023,333000.0,Appartements
11002U20-,2023,272000.0,Appartements
11002U21-,2023,245000.0,Appartements
11002U30-,2023,365000.0,Appartements
