CD_STAT_SECTOR,total_sales_2013_2024
11001A00-,620
11001A01-,754
11001A020,193
11001A030,175
11001A042,72
11001A052,514
11001A063,168
11001A074,4
11001A091,119
11001A0MA,6
11001A0PA,32
11001A10-,146
11001A173,71
11001A190,81
11001A20-,300
11001A21-,361
11001_UNKNOWN,42
11002A00-,691
11002A01-,398
11002A02-,201
11002A03-,212
11002A04-,362
11002A05-,317
11002A10-,536
11002A11-,703
11002A12-,284
11002A13-,699
11002A14-,343
11002A15-,576
11002A21-,403
11002A22-,336
11002B701,302
11002B71-,365
11002B721,734
11002B742,327
11002B752,65
11002B791,71
11002B813,442
11002B824,19
11002C20-,299
11002C21-,666
11002C22-,355
11002C23-,652
11002C24-,559
11002C25-,695
11002C31-,395
11002C41-,410
11002C42-,523
11002C43-,436
11002C44-,333
11002C45-,460
11002D30-,892
11002D31-,471
11002D32-,986
11002D33-,531
11002D34-,1452
11002D35-,236
11002D38-,8
11002D41-,734
11002D42-,644
11002E122,271
11002E131,349
11002E14-,1272
11002E15-,459
11002E50-,1165
11002E521,817
11002E53-,573
11002E551,837
11002E5MJ,84
11002F11-,398
11002F12-,157
11002F21-,1075
11002F60-,375
11002F61-,873
11002F62-,222
11002F64-,22
11002F65-,573
11002G51-,494
11002G522,278
11002G53-,931
11002G54-,905
11002G552,158
11002G59-,31
11002G72-,341
11002G73-,292
11002G74-,247
11002G75-,28
11002G780,19
11002H40-,508
11002H41-,466
11002H43-,703
11002H44-,325
11002H83-,619
11002H84-,134
11002J072,149
11002J80-,38
11002J81-,133
11002J820,293
11002J83-,244
11002J84-,151
11002J85-,672
11002J873,1
11002J8AN,142
11002J901,104
11002J912,197
11002J923,122
11002J932,7
11002J94-,22
11002K171,1
11002K214,23
11002L000,648
11002L011,462
11002L022,45
11002L090,58
11002L100,784
11002L111,359
11002L122,394
11002L18-,20
11002P00-,500
11002P01-,723
11002P02-,538
11002P03-,819
11002P04-,617
11002P05-,232
11002P100,757
11002P111,429
11002P12-,248
11002P20-,415
11002P21-,172
11002P22-,347
11002P23-,603
11002P242,48
11002P2AP,236
11002P500,321
11002P589,28
11002P590,26
11002P6AK,48
11002P6BK,150
11002P6CK,173
11002P6DK,283
11002P6EK,18
11002Q001,853
11002Q012,790
11002Q021,175
11002Q03-,778
11002Q04-,754
11002Q052,213
11002Q072,23
11002Q091,8
11002Q10-,886
11002Q11-,353
11002Q12-,1157
11002Q13-,791
11002Q14-,764
11002Q17-,6
11002Q201,1712
