CD_STAT_SECTOR,CD_TYPE_FR_RENAMED,MS_TRANSACTIONS
11001A00-,2-3 facades house,214
11001A00-,4 or + facades house,6
11001A00-,all houses,220
11001A00-,apartments,180
11001A01-,2-3 facades house,239
11001A01-,4 or + facades house,82
11001A01-,all houses,321
11001A01-,apartments,112
11001A020,2-3 facades house,42
11001A020,4 or + facades house,50
11001A020,all houses,92
11001A020,apartments,9
11001A030,2-3 facades house,69
11001A030,4 or + facades house,4
11001A030,all houses,73
11001A030,apartments,29
11001A042,2-3 facades house,2
11001A042,4 or + facades house,34
11001A042,all houses,36
11001A052,2-3 facades house,163
11001A052,4 or + facades house,10
11001A052,all houses,173
11001A052,apartments,168
11001A063,2-3 facades house,28
11001A063,4 or + facades house,4
11001A063,all houses,32
11001A063,apartments,104
11001A074,4 or + facades house,2
11001A074,all houses,2
11001A091,2-3 facades house,12
11001A091,4 or + facades house,44
11001A091,all houses,56
11001A091,apartments,7
11001A0MA,4 or + facades house,3
11001A0MA,all houses,3
11001A0PA,2-3 facades house,1
11001A0PA,4 or + facades house,15
11001A0PA,all houses,16
11001A10-,2-3 facades house,57
11001A10-,4 or + facades house,13
11001A10-,all houses,70
11001A10-,apartments,6
11001A173,2-3 facades house,13
11001A173,4 or + facades house,9
11001A173,all houses,22
11001A173,apartments,27
11001A190,2-3 facades house,32
11001A190,4 or + facades house,8
11001A190,all houses,40
11001A190,apartments,1
11001A20-,2-3 facades house,97
11001A20-,4 or + facades house,53
11001A20-,all houses,150
11001A21-,2-3 facades house,115
11001A21-,4 or + facades house,15
11001A21-,all houses,130
11001A21-,apartments,101
11001_UNKNOWN,2-3 facades house,16
11001_UNKNOWN,4 or + facades house,3
11001_UNKNOWN,all houses,19
11001_UNKNOWN,apartments,4
11002A00-,2-3 facades house,64
11002A00-,all houses,64
11002A00-,apartments,563
11002A01-,2-3 facades house,32
11002A01-,all houses,32
11002A01-,apartments,334
11002A02-,2-3 facades house,2
11002A02-,all houses,2
11002A02-,apartments,197
11002A03-,2-3 facades house,26
11002A03-,all houses,26
11002A03-,apartments,160
11002A04-,2-3 facades house,46
11002A04-,all houses,46
11002A04-,apartments,270
11002A05-,2-3 facades house,40
11002A05-,all houses,40
11002A05-,apartments,237
11002A10-,2-3 facades house,12
11002A10-,all houses,12
11002A10-,apartments,512
11002A11-,2-3 facades house,90
11002A11-,all houses,90
11002A11-,apartments,523
11002A12-,2-3 facades house,6
11002A12-,all houses,6
11002A12-,apartments,272
11002A13-,2-3 facades house,72
11002A13-,all houses,72
11002A13-,apartments,555
11002A14-,2-3 facades house,3
11002A14-,all houses,3
11002A14-,apartments,337
11002A15-,2-3 facades house,46
11002A15-,all houses,46
11002A15-,apartments,484
11002A21-,2-3 facades house,54
11002A21-,all houses,54
11002A21-,apartments,295
11002A22-,2-3 facades house,15
11002A22-,all houses,15
11002A22-,apartments,306
11002B701,2-3 facades house,60
11002B701,all houses,60
11002B701,apartments,182
11002B71-,2-3 facades house,50
11002B71-,4 or + facades house,12
11002B71-,all houses,62
11002B71-,apartments,241
11002B721,2-3 facades house,156
11002B721,all houses,156
11002B721,apartments,422
11002B742,2-3 facades house,59
11002B742,4 or + facades house,20
11002B742,all houses,79
11002B742,apartments,169
11002B752,apartments,65
11002B791,2-3 facades house,2
11002B791,4 or + facades house,20
11002B791,all houses,22
11002B791,apartments,27
11002B813,2-3 facades house,63
11002B813,all houses,63
11002B813,apartments,316
11002B824,apartments,19
