zone_police;year;vol;coups_blessures;assasinat;drogues;degradat_prop;fraude;legislat_immigre;cyber_crime;secu_publiq;alcool;armes;secu_etat
ZP BRUXELLES CAPITALE IXELLES;2000;36321;2584;38;2781;3570;4598;744;1;1737;733;599;5
ZP MIDI;2000;16935;1608;14;997;2113;1682;571;;1005;56;277;
ZP POLBRUNO;2000;11436;1236;25;625;1647;2327;548;;706;106;196;
ZP BRUXELLES-OUEST;2000;10857;1330;26;615;1543;1013;272;;786;121;158;
ZP UCCLE-W-B-AUDERGHEM;2000;7519;716;4;506;1377;983;172;;472;103;129;
ZP MONTGOMERY;2000;7196;692;7;265;1085;927;274;;376;59;129;
ZP BRUXELLES CAPITALE IXELLES;2014;33698;3866;58;3376;3815;2257;2781;1382;1704;1209;697;48
ZP MIDI;2014;14450;2226;52;1662;2222;974;1761;670;1340;218;349;12
ZP BRUXELLES-OUEST;2014;9015;1596;26;787;1729;697;708;461;817;338;247;23
ZP POLBRUNO;2014;7535;1323;29;1314;1311;784;2089;417;733;99;287;13
ZP UCCLE-W-B-AUDERGHEM;2014;5984;794;6;924;1119;608;429;269;450;442;176;1
ZP MONTGOMERY;2014;5894;776;5;537;1063;484;689;297;381;118;147;2
ZP BRUXELLES CAPITALE IXELLES;2024;34852;4240;61;4728;3314;3469;3385;3581;1698;892;831;11
ZP MIDI;2024;14810;2162;90;2029;1595;1836;2869;1686;1200;325;411;5
ZP POLBRUNO;2024;8047;1831;45;1142;1131;1428;1660;1009;816;269;320;3
ZP BRUXELLES-OUEST;2024;6464;1659;33;1645;1373;1540;918;1268;771;523;240;2
ZP UCCLE-W-B-AUDERGHEM;2024;4853;881;7;348;973;1212;677;856;388;316;212;
ZP MONTGOMERY;2024;4000;764;12;402;651;1049;598;704;327;179;117;2
